map,scenario,evacuee_density,average_completion_time,average_survival_rate
baseline_2,no aids,small,101.4,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.7, 10.7, 10.7, 10.7, 10.6, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.4, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.2, 10.2, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.0, 10.0, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.8, 9.8, 9.7, 9.7, 9.6, 9.6, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.5, 9.4, 9.4, 9.4, 9.4, 9.3, 9.3, 9.3, 9.2, 9.2, 9.2, 9.2, 9.2, 9.2, 9.2, 9.2, 9.2, 9.1, 9.1, 9.1, 9.0, 9.0, 8.9]"
baseline_2,no aids,medium,112.5,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.8, 32.7, 32.5, 32.5, 32.4, 32.4, 32.4, 32.4, 32.4, 32.3, 32.3, 32.3, 32.2, 32.1, 32.1, 32.1, 32.1, 32.1, 32.1, 32.0, 31.9, 31.9, 31.9, 31.9, 31.9, 31.8, 31.8, 31.8, 31.6, 31.4, 31.3, 31.2, 31.0, 30.8, 30.7, 30.6, 30.5, 30.4, 30.2, 29.9, 29.9, 29.8, 29.7, 29.5, 29.5, 29.4, 29.2, 29.2, 29.1, 29.1, 29.0, 28.7, 28.7, 28.6, 28.5, 28.5, 28.4, 28.3, 28.0, 27.9, 27.8, 27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 27.6, 27.6, 27.6, 27.5, 27.4, 27.4, 27.4, 27.4, 27.3, 27.3, 27.2, 27.0, 27.0, 26.7, 26.6, 26.6, 26.5, 26.4, 26.3, 26.3, 26.3, 26.2, 26.1, 25.7, 25.7, 25.6, 25.5, 25.5, 25.5, 25.3, 25.3, 25.2, 25.1, 25.0, 24.9, 24.8, 24.8, 24.8, 24.7, 24.7, 24.7, 24.6, 24.6, 24.5, 24.5, 24.5, 24.4, 24.4, 24.3, 24.3, 24.3, 24.3, 24.3, 24.3, 24.2, 24.1]"
baseline_2,no aids,large,110.5,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.8, 55.7, 55.7, 55.7, 55.4, 55.3, 55.2, 55.1, 55.1, 55.0, 54.8, 54.8, 54.3, 54.1, 53.7, 53.5, 53.5, 53.3, 53.2, 53.2, 53.1, 53.0, 52.7, 52.3, 51.9, 51.5, 51.4, 51.4, 51.0, 50.7, 50.5, 50.4, 50.4, 50.3, 50.0, 49.8, 49.5, 49.3, 48.9, 48.9, 48.9, 48.9, 48.7, 48.5, 48.1, 47.7, 47.4, 47.4, 46.9, 46.7, 46.7, 46.7, 46.4, 46.2, 45.9, 45.8, 45.6, 45.6, 45.6, 45.3, 45.1, 44.9, 44.8, 44.5, 44.1, 44.0, 43.9, 43.8, 43.5, 43.5, 43.2, 43.2, 43.1, 42.9, 42.6, 42.5, 42.4, 42.4, 42.2, 42.1, 41.8, 41.4, 41.0, 40.8, 40.8, 40.6, 40.3, 40.3, 39.9, 39.8, 39.8, 39.7, 39.6, 39.4, 39.4, 39.4, 39.2, 39.0, 38.8, 38.7, 38.7, 38.6, 38.5, 38.4, 38.4, 38.1, 38.1, 38.1, 37.9, 37.5, 37.5, 37.4, 37.4, 37.4, 37.2, 37.1]"
baseline_2,lightstrips,small,100.4,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.7, 10.7, 10.6, 10.5, 10.5, 10.5, 10.5, 10.4, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3, 10.2, 10.2, 10.2, 10.2, 10.2, 10.2, 10.2, 10.2, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.8, 9.8, 9.8, 9.8, 9.8, 9.7, 9.7, 9.7, 9.7, 9.6, 9.4, 9.4, 9.4, 9.4, 9.3, 9.3, 9.3, 9.3, 9.3, 9.2, 9.2, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.0, 9.0, 8.9]"
baseline_2,lightstrips,medium,108.1,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.9, 32.9, 32.8, 32.8, 32.6, 32.6, 32.6, 32.6, 32.6, 32.6, 32.5, 32.4, 32.4, 32.4, 32.2, 32.1, 32.1, 31.9, 31.8, 31.8, 31.8, 31.8, 31.8, 31.7, 31.7, 31.6, 31.6, 31.6, 31.4, 31.4, 31.3, 31.0, 31.0, 31.0, 30.8, 30.7, 30.6, 30.5, 30.2, 30.1, 30.0, 29.9, 29.7, 29.6, 29.3, 29.2, 29.2, 29.0, 28.9, 28.7, 28.4, 28.3, 28.2, 28.1, 28.1, 28.1, 28.0, 28.0, 28.0, 28.0, 28.0, 27.9, 27.9, 27.8, 27.6, 27.5, 27.4, 27.4, 27.4, 27.2, 27.2, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 26.9, 26.8, 26.7, 26.6, 26.5, 26.5, 26.3, 26.2, 26.0, 25.6, 25.5, 25.5, 25.2, 25.2, 25.1, 25.1, 24.8, 24.7, 24.7, 24.5, 24.5, 24.3, 24.2, 24.2, 24.1, 24.0, 24.0, 24.0, 23.8]"
baseline_2,lightstrips,large,110.7,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.8, 55.7, 55.7, 55.5, 55.2, 55.2, 55.1, 54.9, 54.9, 54.9, 54.8, 54.6, 54.5, 54.4, 54.4, 54.2, 54.1, 54.0, 53.6, 53.3, 53.0, 52.7, 52.5, 52.2, 52.1, 52.0, 51.4, 50.9, 50.6, 50.2, 49.8, 49.7, 49.3, 48.9, 48.9, 48.7, 48.5, 48.4, 48.2, 47.8, 47.7, 47.6, 47.2, 46.8, 46.6, 46.5, 46.5, 46.1, 46.0, 45.7, 45.5, 45.5, 45.2, 44.8, 44.8, 44.7, 44.4, 44.1, 43.9, 43.9, 43.5, 43.4, 43.2, 43.0, 42.9, 42.8, 42.6, 42.4, 42.0, 41.8, 41.6, 41.5, 41.3, 41.2, 40.9, 40.6, 40.3, 40.3, 40.1, 40.0, 39.9, 39.9, 39.3, 39.1, 39.0, 38.9, 38.8, 38.7, 38.5, 38.3, 38.0, 37.7, 37.7, 37.6, 37.5, 37.1, 36.9, 36.8, 36.6, 36.4, 36.3, 36.2, 35.7, 35.7, 35.6, 35.6, 35.4, 35.4, 35.2, 35.0, 35.0, 34.9, 34.7, 34.7, 34.5, 34.4]"
baseline_2,firealarms,small,46.4,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.7, 10.7, 10.6, 10.6, 10.6, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5, 10.5]"
baseline_2,firealarms,medium,65.9,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.8, 32.4, 32.4, 32.3, 32.3, 32.0, 32.0, 31.9, 31.9, 31.9, 31.9, 31.8, 31.8, 31.8, 31.8, 31.7, 31.5, 31.5, 31.5, 31.2, 31.1, 31.0, 30.9, 30.7, 30.7, 30.5, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 30.3, 30.3, 30.3, 30.3, 30.3, 30.3, 30.3, 30.3, 30.3, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2, 30.2]"
baseline_2,firealarms,large,74.8,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.8, 55.6, 55.6, 55.5, 55.1, 55.1, 54.4, 54.2, 54.1, 54.0, 53.7, 53.4, 53.3, 53.2, 53.0, 52.7, 52.3, 52.0, 51.9, 51.7, 51.7, 51.7, 51.4, 51.4, 51.3, 51.2, 51.1, 51.1, 50.9, 50.8, 50.8, 50.6, 50.5, 50.4, 50.4, 50.3, 50.1, 50.0, 50.0, 50.0, 49.7, 49.6, 49.4, 49.2, 49.2, 49.2, 49.2, 49.2, 49.1, 49.1, 49.1, 49.1, 49.1, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9]"
baseline_2,combined,small,52.0,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7]"
